municipio,codigo_ibge,taxa_100k_22,taxa_100k_23,taxa_100k_24,populacao_22,populacao_23,populacao_24
cerquilho,3511508,1060.52,1388.16,1302.55,44695,45456.0,46217
cesario lange,3511607,1443.72,1325.19,1388.61,19048,19318.0,19588
charqueada,3511706,1667.2,1748.9,1322.95,15535,15667.0,15798
chavantes,3557204,1744.33,1608.32,1611.47,12211,12311.0,12411
clementina,3511904,1317.67,1478.32,1425.14,6982,7035.0,7087
colina,3512001,1693.17,1484.14,1188.83,18486,18664.0,18842
colombia,3512100,2323.13,2043.25,2285.8,6629,6705.0,6781
conchal,3512209,2273.94,2327.78,2083.76,28101,28568.0,29034
conchas,3512308,1418.07,1848.83,1677.39,15232,15307.0,15381
cordeiropolis,3512407,2268.09,2163.4,2013.53,24514,24822.0,25130
coroados,3512506,1222.22,1376.4,1746.09,5400,5449.0,5498
coronel macedo,3512605,1168.22,1399.25,838.18,4280,4288.0,4295
corumbatai,3512704,1573.3,2051.89,1750.29,4195,4240.0,4285
cosmopolis,3512803,1957.41,2087.98,2073.39,59773,60489.0,61204
cosmorama,3512902,2259.43,1899.59,1572.26,8719,8844.0,8968
cotia,3513009,2021.04,2296.68,2152.58,274413,280709.0,287004
cravinhos,3513108,1541.42,1785.77,1521.08,33281,33767.0,34252
cristais paulista,3513207,1639.34,2232.14,1844.28,9272,9408.0,9543
cruzalia,3513306,711.57,1179.8,1174.26,2108,2119.0,2129
cruzeiro,3513405,2033.06,1925.08,1674.23,74961,75737.0,76513
cubatao,3513504,2189.8,2527.71,2613.79,112476,113779.0,115082
cunha,3513603,891.0,960.37,926.26,22110,22283.0,22456
descalvado,3513702,1571.36,1516.05,1569.49,31756,32189.0,32622
diadema,3513801,3156.11,3009.95,2477.49,393237,398678.0,404118
dirce reis,3513850,864.2,1471.49,975.02,1620,1631.0,1641
divinolandia,3513900,1299.52,1699.89,1087.15,11158,11236.0,11314
dobrada,3514007,924.76,722.43,1004.69,8759,8859.0,8958
dois corregos,3514106,1762.55,1944.66,1854.76,24510,24683.0,24855
dolcinopolis,3514205,1449.93,1929.12,1422.22,2207,2229.0,2250
dourado,3514304,1111.66,1645.99,1343.76,8096,8141.0,8186
dracena,3514403,2458.55,2557.03,2365.85,45474,46069.0,46664
duartina,3514502,1314.08,1279.27,1277.04,12328,12429.0,12529
dumont,3514601,939.71,1052.63,843.71,9471,9595.0,9719
echapora,3514700,1160.35,1200.0,1239.08,6205,6250.0,6295
eldorado,3514809,1262.53,1189.39,1170.03,13069,13116.0,13162
elias fausto,3514908,1265.61,1474.78,1430.7,17699,17901.0,18103
elisiario,3514924,1179.09,1264.22,972.09,3138,3164.0,3189
embauba,3514957,817.91,641.57,594.99,2323,2338.0,2353
embu das artes,3515004,1824.56,2067.39,2093.14,250691,255007.0,259323
embuguacu,3515103,1860.53,1923.76,1826.9,66970,67888.0,68805
emilianopolis,3515129,895.82,921.66,816.46,3014,3038.0,3062
engenheiro coelho,3515152,1170.4,1239.11,1137.1,19566,19853.0,20139
espirito santo do pinhal,3515186,1732.97,1714.33,1725.62,39816,40249.0,40681
espirito santo do turvo,3515194,1924.46,2006.21,2039.36,4157,4187.0,4217
estiva gerbi,3557303,2169.1,1985.83,1954.0,11295,11431.0,11566
estrela do norte,3515301,1109.88,1320.62,1491.45,2703,2726.0,2749
estrela doeste,3515202,1529.15,1740.77,1336.1,9417,9536.0,9655
euclides da cunha paulista,3515350,1072.69,1110.27,1059.54,7924,7926.0,7928
fartura,3515400,1971.04,1927.08,1825.25,16641,16813.0,16984
fernando prestes,3515608,2339.28,1882.08,1862.84,5942,6004.0,6066
fernandopolis,3515509,2250.44,2131.9,2052.23,71186,72236.0,73286
fernao,3515657,1992.75,2749.55,1420.96,1656,1673.0,1689
ferraz de vasconcelos,3515707,2767.33,2491.09,2205.02,179198,182410.0,185622
flora rica,3515806,1681.24,1744.97,1273.46,1487,1490.0,1492
floreal,3515905,1756.31,1930.78,1523.95,2733,2745.0,2756
florida paulista,3516002,949.22,1194.03,1146.46,12958,13065.0,13171
florinea,3516101,1506.1,1811.69,1153.75,3851,3919.0,3987
franca,3516200,2272.68,2377.29,2192.51,352536,358434.0,364331
francisco morato,3516309,1756.1,2053.85,2012.19,165139,168123.0,171107
franco da rocha,3516408,1891.63,1914.23,1990.17,144849,147318.0,149786
gabriel monteiro,3516507,1013.39,861.14,1138.38,2763,2787.0,2811
galia,3516606,2445.14,2777.78,2828.28,6380,6408.0,6435
garca,3516705,2821.18,2773.8,2495.65,42110,42613.0,43115
gastao vidigal,3516804,1291.51,1263.87,1267.39,3252,3244.0,3235
gaviao peixoto,3516853,1424.93,1515.79,1000.63,4702,4750.0,4797
general salgado,3516903,1047.32,992.2,1004.88,10312,10381.0,10449
getulina,3517000,1446.44,1593.16,1361.66,10232,10294.0,10355
glicerio,3517109,2174.96,1347.45,1725.38,4138,4156.0,4173
guaicara,3517208,1966.37,2467.18,2364.95,11239,11349.0,11459
guaimbe,3517307,2195.21,2230.62,2640.03,5512,5559.0,5606
