Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2023],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021]
Arco-Íris,3503356,arcoirense,ALDO MANSANO FERNANDES,264.904,2044,7.72,2085,99.1,0.722,-,30366963.62,25803609.09,35382.28
Arealva,3503406,arealvense,PAULO JULIANO NICOLIELO JUNIOR,506.226,8130,16.06,8280,99.6,0.744,20.62,54103645.98,51714562.8,26206.9
Areias,3503505,areiense,RODRIGO JOSE RAMOS DE OLIVEIRA,305.227,3577,11.72,3625,96.8,0.697,-,48672873.97,51528796.21,14877.99
Areiópolis,3503604,areiopolitano,MICHEL HENRIQUE AUGUSTO,85.907,10130,117.92,10257,97.3,0.695,16.67,58475463.02,50713329.42,14577.19
Ariranha,3503703,ariranhense,EMERSON ANTONIO TROVÓ,132.624,7602,57.32,7653,99.6,0.733,-,69870850.02,63362117.67,115410.74
Artur Nogueira,3503802,nogueirense,LUCAS SIA RISSATO,178.026,51456,289.04,53157,98.3,0.749,3.27,273541873.6,287794746.1,30610.29
Arujá,3503901,arujaense / arujano,LUIS ANTONIO DE CAMARGO,96.167,86678,901.33,89943,98.2,0.784,6.06,575898129.7,585147148.9,89703.63
Aspásia,3503950,aspasiense,IVAN DE PAULA,69.373,1842,26.55,1873,97.1,0.735,-,27343253.6,21880153.12,21788.35
Assis,3504008,assisense,TELMA GONCALVES CARNEIRO SPERA DE ANDRADE,460.609,101409,220.16,104642,98.9,0.805,12.46,555176558,564584304.8,38598.78
Atibaia,3504107,atibaiano,DANIEL DA ROCHA MARTINI,478.521,158647,331.54,166043,97.3,0.765,8.03,1142297729,1121394897,57512.36
Auriflama,3504206,auriflamense,KATIA CONCEIÇÃO MORITA DE CARVALHO,434.498,13692,31.51,13873,98.8,0.773,13.99,82442704.54,71596024.23,23409.76
Avaí,3504305,avaiense,HELLEN FERNANDES RODRIGUES COELHO,540.689,4483,8.29,4519,99.4,0.714,40.54,44804157.35,45359812.12,68793.46
Avanhandava,3504404,avanhandavense,NORBERTO CESAR BERALDO,338.37,11263,33.29,11438,97.2,0.705,8.62,72988974.26,70466171.25,14178.27
Avaré,3504503,avareense,ROBERTO DE ARAUJO,1213.055,92805,76.51,96098,97.9,0.767,17.48,482858670.2,483852554.9,35721.22
Bady Bassitt,3504602,badiense,JANIMEIRI CATELANI BUZZI,110.372,27260,246.98,28909,98.5,0.746,8.88,141577918.4,154097398.2,30636.12
Balbinos,3504701,balbinense,JOSE MARCIO RIGOTTO,91.635,3887,42.42,3963,98.9,0.669,-,26368867.21,23014159.68,10674.14
Bálsamo,3504800,balsamense,JOSE EDUARDO NALIATI JUNIOR,149.881,9596,64.02,9854,99,0.756,-,56998822.71,54995429.27,30257.55
Bananal,3504909,bananalense,WILLIAM LANDIM DA SILVA,616.429,9969,16.17,10109,97.1,0.733,-,68894590.63,67036850.34,19568.66
Barão de Antonina,3505005,barãoense,RODRIGO WALDEMAR MARQUES,153.142,3531,23.06,3618,100,0.711,-,34552852.07,28879114.24,21264.23
Barbosa,3505104,barbosano,RODRIGO PRIMO ANTUNES,205.212,5640,27.48,5659,98.4,0.699,25.97,45266244.09,43106693.17,14488.16
Bariri,3505203,baririense,AIRTON LUIS PEGORARO,444.405,31595,71.1,32405,96.3,0.75,11.73,173279240.9,173029939.5,45290.86
Barra Bonita,3505302,barra-bonitense,MANOEL FABIANO FERREIRA FILHO,150.121,34346,228.79,35159,99.8,0.788,16.39,215057439.1,213070578.5,41955.79
Barra do Chapéu,3505351,barrense,IVANIL NORBERTO PEREIRA NOLASCO,405.681,5179,12.77,5256,96.9,0.66,11.49,42610971.46,40025899.1,23082.16
Barra do Turvo,3505401,barra-turvense,VICTOR MARUYAMA,1007.684,6876,6.82,6922,95.6,0.641,17.54,60345082.74,56221789.71,16542.32
Barretos,3505500,barretense,ODAIR DE MOURA E SILVA,1566.161,122485,78.21,126600,97.8,0.789,12.93,979994224.9,1086979265,47783.95
