Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2023],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021]
Mirassolândia,3530409,mirassolandense,CÉLIA APARECIDA FIAMENGHI DOS SANTOS MATOS,166.125,4669,28.11,4771,96.9,0.738,-,37708102.18,35597992.94,42951.06
Mococa,3530508,mocoquense,EDUARDO RIBEIRO BARISON,855.156,67681,79.14,69324,98.9,0.762,6.99,310766549.9,313927627.5,44065.5
Mogi das Cruzes,3530607,mogiano,MARIA LUISA PICCOLOMINI BERTAIOLLI,712.541,451505,633.65,468120,97.7,0.783,12.98,2178329539,2502872298,43031.34
Mogi Guaçu,3530706,guaçuano,RODRIGO FALSETTI,812.753,153658,189.06,159735,97.9,0.774,12.06,846831199.8,881717174.8,44538.21
Mogi Mirim,3530805,mogi-miriano,PAULO DE OLIVEIRA E SILVA,497.708,92558,185.97,95534,97.4,0.784,5.5,668722600.5,658900253.1,67095.62
Mombuca,3530904,mombucano,EVERTON TIAGO MORA PEDROSO,133.698,3722,27.84,3815,97.8,0.719,-,36085959.47,36015938.49,35344.16
Monções,3531001,monçolense,DOUGLAS ANTÔNIO HONORATO,104.352,1937,18.56,1954,100,0.772,-,35544568.23,30313250.87,25620.96
Mongaguá,3531100,mongaguano,LUIZ BERBIZ DE OLIVEIRA,142.755,61951,433.97,64519,98.3,0.754,12.8,396556630.8,395945184.7,21421.71
Monte Alegre do Sul,3531209,monte-alegrense,JOSE RAFAEL VEZZAN,110.308,8627,78.21,8873,98.3,0.759,13.7,52932743.15,50438445.25,30829.71
Monte Alto,3531308,monte-altense,MARIA HELENA AGUIAR RETTONDINI,346.95,47574,137.12,48725,98.6,0.768,17.24,262044565.3,250704589.5,47713.32
Monte Aprazível,3531407,monte-aprazivelense,JOÃO ROBERTO CAMARGO,495.559,22280,44.96,22650,98.8,0.785,18.6,125857998.7,118921665.7,29885.78
Monte Azul Paulista,3531506,monte-azulense,MARDQUEU SILVIO FRANÇA,263.463,18151,68.89,18363,98.6,0.753,9.9,144774305.5,129924443,33768.09
Monte Castelo,3531605,monte-castelense,EDSON CARLOS OLIVEIRA DA SILVA,233.547,4222,18.08,4301,98.2,0.741,-,37047554.03,38233480.23,30746
Monteiro Lobato,3531704,lobatense,EDMAR JOSÉ DE ARAUJO,332.742,4138,12.44,4205,96.5,0.71,46.51,42026146.67,39381142.35,17520.67
Monte Mor,3531803,monte-morense,MURILO ANTÔNIO DE SOUSA RINALDO,240.566,64662,268.79,67296,97.2,0.733,11.2,389299341.1,374198633.8,69972.02
Morro Agudo,3531902,morro-agudense,LEANDRO CÉSAR SILVA VALADARES,1388.127,27933,20.12,28561,95.9,0.712,9.52,237163419.9,253380462,36487.83
Morungaba,3532009,morungabense,LUIS FERNANDO MIGUEL,146.752,13720,93.49,14081,97.4,0.715,5.26,96349444.19,98931065.55,45445.18
Motuca,3532058,motuquense,FABIO DE MENEZES CHAVES,228.7,4034,17.64,4079,95.4,0.741,43.48,37202146.31,34985721.61,24983.62
Murutinga do Sul,3532108,murutinguense,CRISTIANO ELEUTÉRIO SOARES DA SILVA,250.873,3737,14.9,3763,96.4,0.726,62.5,36005567.99,32369365.41,19453.5
Nantes,3532157,nantense,MARLLON JAFFER ALBANO DE OLIVEIRA,286.647,2660,9.28,2699,98.7,0.714,-,38196293.29,36108643.17,44261.55
Narandiba,3532207,narandibense,DANILLO CARVALHO DOS SANTOS,357.325,5713,15.99,5908,98.9,0.718,12.99,63650411.29,54779526.91,129106.16
Natividade da Serra,3532306,nativense,EVAIL AUGUSTO DOS SANTOS,833.372,6999,8.4,7134,98.8,0.655,15.63,48461260.82,44621621.52,14098.9
Nazaré Paulista,3532405,nazareano,AVANILDE APARECIDA GONZAGA CANEDO,326.254,18217,55.84,18620,96.9,0.678,-,107016540.1,104067597.5,24667.18
Neves Paulista,3532504,nevense,EDENILSON ALEXANDRE ROSSELLI,219.05,9699,44.28,9921,99.7,0.754,-,54006533.23,51857816,30979.89
Nhandeara,3532603,nhandearense,ANTONIO MARQUES DO NASCIMENTO JUNIOR,436.159,9852,22.59,9944,97.7,0.751,-,68527393.45,68021828.62,31773.36
Nipoã,3532702,nipoense,JOSE PEDRO RAMPIM,137.609,4750,34.52,4860,99.2,0.713,44.78,33254643.71,32889343.76,17820.45
Nova Aliança,3532801,nova-aliancense,JURANDIR BARBOSA DE MORAIS,217.515,6693,30.77,6858,99.2,0.738,-,50466864.55,43938024.48,45514.97
Nova Campina,3532827,nova campinense,ANTONIO ISAEL DE OLIVEIRA JUNIOR,385.375,8497,22.05,8631,99.7,0.651,31.75,64328086.75,61764250.7,22192.26
Nova Canaã Paulista,3532843,novacanaense,THAIS CRISTINA COSTA MOREIRA,124.473,2032,16.32,2058,98.8,0.715,55.56,28157361.03,25284208.62,25386.3
Nova Castilho,3532868,castilhense,MAICON GARCIA PIROLA,183.396,1062,5.79,1074,100,0.756,-,32510589.03,26870231.17,47027.11
Nova Europa,3532900,nova-europense,LIDIANE LUIZE RODRIGUES,160.25,9311,58.1,9459,100,0.765,42.55,75298021.84,72823787.34,32768.54
Nova Granada,3533007,granadense,LUIZ AUGUSTO SALVADOR,531.796,19419,36.52,19725,98.6,0.739,8.47,96982195.07,85167876.03,23447.89
Nova Guataporanga,3533106,guataporanguense,JOSE MAURO LOURENCETTI,34.158,2156,63.12,2188,99.3,0.726,-,24240946.39,21386158.9,15762.88
Nova Independência,3533205,independentino,FERNANDO MACCHI SANTANA,265.029,4609,17.39,4795,98,0.735,-,53175198.73,48459187.51,51548.89
Novais,3533254,novaense,PAULO CESAR DIAS PINHEIRO,117.772,4412,37.46,4469,100,0.719,-,38539861.87,36735076.17,12986.7
Nova Luzitânia,3533304,luzitaniense,MIGUEL JOSÉ ARAÚJO JUNIOR,73.816,2837,38.43,2838,98.6,0.743,-,29619864.66,30429667.36,14278.82
Nova Odessa,3533403,novaodessense,CLÁUDIO JOSÉ SCHOODER,73.788,62019,840.5,64228,98.4,0.791,12.13,339645243.3,349853936.8,65145.09
Novo Horizonte,3533502,novo-horizontino,FABIANO DE MELLO BELENTANI,931.743,38324,41.13,39435,97.7,0.753,12.82,241698441.7,231526590.3,37973.31
Nuporanga,3533601,nuporanguense,DANIEL VIANA MELO,348.265,7391,21.22,7550,97.8,0.746,-,69181871.03,67795500.87,115407.02
Ocauçu,3533700,ocauçuense,JOÃO BENEDITO COSTA E SILVA,301.036,4331,14.39,4412,97.7,0.717,13.51,39305320.17,36947842.76,32921.81
Óleo,3533809,oleense,JORDÃO ANTONIO VIDOTTO,198.938,2512,12.63,2540,98.9,0.73,-,32013559.85,26590532.65,52419.92
Olímpia,3533908,olimpiense,EUGENIO JOSE ZULIANI,802.555,55074,68.62,56701,97.4,0.773,9.66,378028593.6,382061875.5,45985.63
Onda Verde,3534005,onda-verdense,NILSON NEVES DE SOUZA,242.946,4771,19.64,4912,98.7,0.738,19.23,47547555.85,41521478.51,46086.02
Oriente,3534104,orientense,GERALDO MATHEUS MORIS,218.668,6085,27.83,6180,97.2,0.77,14.49,41698666.46,37681461.71,19753.85
Orindiúva,3534203,orindiuvense,MIRELI CRISTINA LEITE RUVIÉRI MARTINS,247.378,6024,24.35,6145,99.3,0.767,-,61929222.06,57544500.78,87570.54
Orlândia,3534302,orlandino,JORGE GABRIEL GRASI,291.765,38319,131.34,39193,98.3,0.78,9.69,290751556.3,264146085.8,57728.08
Osasco,3534401,osasquense,GERSON DIAS PESSOA,64.954,728615,11217.4,756952,96,0.776,14.91,4501945153,4685442908,122765.64
Oscar Bressane,3534500,bressanense,ANSELMO GIROTO,222.13,2470,11.12,2504,96.7,0.749,66.67,31068213.97,26427569.93,43366.02
Osvaldo Cruz,3534609,osvaldo-cruzense,VERA LUCIA ALVES,248.038,31272,126.08,32099,97.6,0.762,6.37,141173813.7,141466385.4,32836.81
Ourinhos,3534708,ourinhense,GUILHERME ANDREW GONÇALVES DA SILVA,295.818,103970,351.47,106877,98.2,0.778,9.39,670871894.2,712859339,34406.86
Ouroeste,3534757,ouroestense,SEBASTIÃO CARLOS SILVA,288.648,10294,35.66,10596,99.7,0.77,10.87,105007650.6,102014884.8,51226.69
Ouro Verde,3534807,ouro-verdense,JULIO CESAR DE MORI VECCHIATI,266.778,7779,29.16,7901,97.3,0.692,40.4,46457700.94,43723831.08,15558.53
Pacaembu,3534906,pacaembuense,JOAO FRANCISCO MUGNAI NEVES,339.375,14877,43.84,15217,98.9,0.725,-,72597792.52,66062103.37,15195.79
Palestina,3535002,palestinense,REINALDO APARECIDO DA CUNHA,697.701,11476,16.45,11689,96.6,0.732,-,86250817.29,86347391.44,31646.21
Palmares Paulista,3535101,palmarense,LUCAS APARECIDO DA ASSUMÇÃO,82.125,9650,117.5,9709,98.2,0.722,-,51295023.68,46700393.45,9964.11
Palmeira d'Oeste,3535200,palmeirense,VALDIR SEMENSATI DE MORAES,318.74,8903,27.93,8994,98.5,0.753,-,48538164.12,47371565.04,23443.85
Palmital,3535309,palmitalense,LUIS GUSTAVO MENDES MORAES,548.407,19594,35.73,19767,97.2,0.746,5.46,150202078.2,131234554.3,40347.04
Panorama,3535408,panoramense,DANIEL GENOVA,356.05,14964,42.03,15214,95.8,0.722,23.12,82519652.39,81673912.63,19933.87
Paraguaçu Paulista,3535507,paraguaçuense,ANTONIO TAKASHI SASADA,1001.492,41120,41.06,42087,99.4,0.762,13.57,293516970.2,262823727,39015.76
Paraibuna,3535606,paraibunense,HELOISA ANTUNES DE FARIA SANTOS,809.576,17667,21.82,17950,97.2,0.719,4.93,134714226.5,122107562,19220.43
Paraíso,3535705,paraisense,OSVALTE JOSE BOVONI,155.186,6099,39.3,6211,99.1,0.749,33.33,57600244.69,57123945.08,42122.5
Paranapanema,3535804,paranapanemense,RODOLFO HESSEL FANGANIELLO,1018.724,19395,19.04,19799,98.1,0.717,14.04,145507036.5,132912475.3,45907.58
Paranapuã,3535903,paranapuense,DANIEL JUNIOR DURAN PINATTO,140.354,4031,28.72,4111,98.4,0.732,-,33553865.87,32916026.82,32360.15
Parapuã,3536000,parapuense,MILTON MITIO IWAYAMA,366.664,10580,28.85,10729,98.9,0.737,22.22,70001826.91,60940936.19,67842.13
Pardinho,3536109,pardinhense,CRISTIANO CAMARGO MOREIRA,209.894,7153,34.08,7382,98.3,0.727,29.13,59269415.25,59068331.51,55976.73
Pariquera-Açu,3536208,pariquerense,WAGNER BENTO DA COSTA,359.414,19233,53.51,19576,97.1,0.736,12.61,94140402.31,106046050.6,29601.64
Parisi,3536257,parasiano,OCLAIR BARÃO BENTO,84.737,2892,34.13,3001,99.6,0.721,-,32416119.5,30082448.25,24630.17
Patrocínio Paulista,3536307,patrocinense,MÁRIO MARCELO CARRARO BERTELLI,602.848,14512,24.07,14837,97.8,0.73,39.11,103023808,88830702.3,91078.82
Paulicéia,3536406,pauliceiense,ANTONIO SIMONATO,374.091,7955,21.26,8200,94,0.711,10.1,63677195.04,59406739.24,26544.4
Paulínia,3536505,paulinense,DANILO HENRIQUE MACÊDO DE BARROS,138.777,110537,796.51,115690,97.9,0.795,14.8,2298800288,1936547504,457517.7
Paulistânia,3536570,paulistaniense,LUIZ CARLOS MARQUES,256.178,2090,8.16,2146,97.5,0.718,-,31453436.24,28091916.1,26505.01
Paulo de Faria,3536604,paulo-fariense,DIRCEU CASSIA FILHO,737.986,7400,10.03,7430,98.5,0.725,13.51,66393852.47,65212987.91,30054.05
Pederneiras,3536703,pederneirense,IVANA MARIA BERTOLINI CAMARINHA,727.482,44827,61.62,46223,98.3,0.739,9.29,244403053.9,244785459.4,64521.62
Pedra Bela,3536802,pedra-belense,VANDERLEI LOPES DA SILVA,158.587,6557,41.35,6718,95.8,0.677,-,40403448.62,39469197.68,19271.43
Pedranópolis,3536901,pedranopolense,FAUSTO LUANO ROSA,260.101,2787,10.72,2848,100,0.742,-,34773157.67,33179202.17,32369.01
Pedregulho,3537008,pedregulhense,CARLOS EDUARDO BARBOSA TEIXEIRA,712.604,15525,21.79,15742,98.4,0.715,15,105676905.7,100795063.6,102593.26
Pedreira,3537107,pedreirense,FÁBIO VINICIUS POLIDORO,108.817,43112,396.19,44332,98.1,0.769,6.74,269791203.4,246353942.4,30658.23
Pedrinhas Paulista,3537156,pedrinhense,FREDDIE COSTA NICOLAU,152.309,2804,18.41,2838,97.3,0.774,29.41,40527685.12,36994047.19,56819.68
Pedro de Toledo,3537206,toledense,PAULO EDUARDO ALVES FERREIRA,670.44,11281,16.83,11539,99.3,0.696,43.96,67571621.04,60278612.68,15521.76
Penápolis,3537305,penapolense,CARLOS HENRIQUE ROSSI CATALANI,711.314,61679,86.71,63317,98.7,0.759,23.53,354968484.3,351069357.2,32488.66
Pereira Barreto,3537404,pereira-barretense,HERMÍNIO BARBOSA KOMATSU,974.247,24095,24.73,24389,98.1,0.766,20.2,180314054.7,160644233.6,42339.32
Pereiras,3537503,pereirense,OSMAR PASQUALINO RODRIGUES RAMOS JUNIOR,223.136,8737,39.16,8969,96.8,0.736,-,48978628.86,45836615.94,35826.95
Peruíbe,3537602,peruibense,FELIPE ANTONIO COLAÇO BERNARDO,326.216,68352,209.53,70543,98.6,0.749,12.15,445757399.9,465798897.1,28211.36
Piacatu,3537701,piacatuense,RICARDO FRANCISCO LEMES DA SILVA,232.488,5519,23.74,5623,97.5,0.732,55.56,40102173.49,35889609.92,19534.68
Piedade,3537800,piedadense,GERALDO PINTO DE CAMARGO FILHO,746.868,52970,70.92,54237,95.6,0.716,13.01,224456214.8,229355630.9,28657
Pilar do Sul,3537909,pilarense,CLAYTON ALVARO MACHADO,681.248,27619,40.54,28417,93.8,0.69,24.59,145621457.2,129737568.1,43096.72
Pindamonhangaba,3538006,pindamonhangabense,RICARDO ALBERTO PEREIRA PIORINO,731.355,165428,226.19,172027,98.2,0.773,10.39,979027600.4,969611388.4,79951.7
Pindorama,3538105,pindoramense,GERALDO FELIPPE JUNIOR,184.825,14542,78.68,14721,97.5,0.737,-,93632680.84,90677330.91,28703.01
Pinhalzinho,3538204,pinhalzinhense,SEBASTIAO ZANARDI,154.529,15224,98.52,15605,97.8,0.725,7.81,78014422.6,79957037.59,20216.61
Piquerobi,3538303,piquerobiense,ADRIANA CRIVELLI BIFFE,482.769,3264,6.76,3296,99.4,0.711,-,38384106.44,36009131.91,18103.98
Piquete,3538501,piquetense,ROMULO KAZIMIERZ LUSZCZYNSKI,175.996,12490,70.97,12570,98.8,0.757,8.93,69050678.2,56546137.34,14661.29
Piracaia,3538600,piracaiense,ANDRÉ HENRIQUE ROGÉRIO,385.568,26029,67.51,26764,98,0.739,13.93,148818584.6,155524174.6,23959.72
Piracicaba,3538709,piracicabano,HELIO DONIZETE ZANATTA,1378.069,423323,307.19,438827,97.5,0.785,10.28,2785829146,2562442081,84225.76
Piraju,3538808,pirajuense,CARLOS ALBERTO CAMARGO LIMA,504.591,29436,58.34,30261,98.3,0.758,6.76,157530308,153435480.4,30945.65
Pirajuí,3538907,pirajuiense,ROSALINA SONIA DOS SANTOS,823.758,22431,27.23,22743,97.3,0.749,-,120271853.6,107042345.7,20820.31
Pirangi,3539004,piranginense,VANDERLEI ROBSON DE OLIVEIRA,215.809,10885,50.44,11076,97.8,0.756,-,62931977.31,59946549.18,31655.48
Pirapora do Bom Jesus,3539103,piraporano,GREGORIO RODRIGUES PONTES MAGLIO,108.489,18370,169.33,18836,97.5,0.727,4.24,121404957.6,110778533.6,42495.88
Pirapozinho,3539202,pirapozense,LUCAS PADOVAN DOS SANTOS PAVANI,477.673,25348,53.07,26065,98.8,0.776,11.67,131488203.1,123764635.9,33165.84
Pirassununga,3539301,pirassununguense,FERNANDO LUBRECHET,727.118,73545,101.15,75475,98.2,0.801,7.85,403538126.3,388213822.8,42833.73
Piratininga,3539400,piratiningano,CARLOS ALESSANDRO FRANCO BORRO DE MATOS,402.409,15108,37.54,15554,98.4,0.779,-,84175823.73,89042350.76,20048.02
Pitangueiras,3539509,pitangueirense,DIMAS TADEU BOLZAN,430.638,33674,78.2,34416,99,0.723,5.1,206681291.2,214937289.8,34369.55
Planalto,3539608,planaltense,ROSIMEIRE BARBOSA SILVERIO,289.825,4389,15.14,4454,99.2,0.719,27.78,51184011.62,49643559.35,36082.23
Platina,3539707,platinense,DONIZETE APARECIDO FERREIRA DE LIMA,327.48,3025,9.24,3061,98.5,0.719,31.25,41819238.79,35115722.07,33283.11
Poá,3539806,poaense,SAULO DE OLIVEIRA SOUZA,17.264,103765,6010.48,106431,97.6,0.771,11.9,469115441.1,447564869.6,31616.47
Poloni,3539905,poloniense,ANDREIA LUZIA FACHINI BRAIT,135.119,5592,41.39,5696,99.5,0.766,-,25025588.62,32278133.98,25044.23
Pompéia,3540002,pompeiano,DIOGO MONTEFUSCO CESCHIM SILVA,784.674,20196,25.74,20512,98.6,0.786,4.72,174599217,155059155.9,87425.49
Pongaí,3540101,pongaiense,GILHIARD HENRIQUE DE BORTOLI,183.399,3395,18.51,3443,97.4,0.755,-,35049114.03,30848764.74,27887.43
Pontal,3540200,pontalense,JOSÉ CARLOS NEVES SILVA,356.371,37607,105.53,38376,94.5,0.725,18.44,209446351.7,219806756.7,28285.96
Pontalinda,3540259,pantalindense,SISINIO DE OLIVEIRA LEÃO,209.525,4127,19.7,4196,98.3,0.702,21.74,50488233.44,31684958.82,20773.37
Pontes Gestal,3540309,pontes-gestalense,MARCEL DIAS LEITE,217.505,2387,10.97,2415,97.8,0.732,-,40571564.66,46814083.31,49170.31
Populina,3540408,populinense,JOAO CEZAR ROBLES BRANDINI,315.938,4127,13.06,4185,99.6,0.714,-,37287453.27,38405860.91,28351.02
Porangaba,3540507,porangabense,JOÃO CARLOS ALVES BARROS,265.689,10451,39.34,10773,94.7,0.703,-,63298528.62,62409415.17,22903.9
Porto Feliz,3540606,porto-felicense,CÉLIO PEIXOTO DOS SANTOS,556.706,56497,101.48,58345,98.2,0.758,4.93,483196972.7,444056640.8,69921.89
Porto Ferreira,3540705,ferreirense,ANDRE LUIS ANCHAO BRAGA,244.906,52649,214.98,53940,98.1,0.751,12.82,348951161.3,330931937.8,43904.33
Potim,3540754,potinense,EMERSON KIOGI TANAKA,44.643,20392,456.78,20767,99.3,0.697,17.24,94451109.28,86113281.65,12047.78
Potirendaba,3540804,potirendabano,GISLAINE MONTANARI FRANZOTTI,342.492,18496,54,18994,98,0.747,9.66,124353648.8,118168380.2,35101.25
Pracinha,3540853,pracinhense,LAERCIO BIASI,63.054,2578,40.89,2599,100,0.696,-,24157828.9,22566288.16,9468.33
Pradópolis,3540903,pradopolense,SAULO EMMANUEL ATIQUE FILHO,167.378,17078,102.03,17309,96.3,0.733,6.67,142818280.2,139419231.3,49306.42
Praia Grande,3541000,praia-grandense,ALBERTO PEREIRA MOURÃO,149.652,349935,2338.32,365577,96.9,0.754,11.39,2328741537,2482092717,25940.64
Pratânia,3541059,pratino,OSMIR JOSÉ FÉLIX,175.1,5126,29.27,5246,97.7,0.701,-,38438618.09,34796843.88,23527.63
Presidente Alves,3541109,alvense,CRISTIANO DOS SANTOS,286.642,3804,13.27,3841,98.9,0.735,-,31014175.57,28138187.39,19014.7
Presidente Bernardes,3541208,bernardense,CLEBERSON DUARTE DE SOUZA,749.233,14490,19.34,14772,98.5,0.757,8.2,81784742.36,78070195.07,25644.3
Presidente Epitácio,3541307,epitaciano,ANDRÉ FERRAZ LIMA,1260.281,39505,31.35,40383,98.8,0.75,13.12,203917724.1,219198126.7,29738.9
Presidente Prudente,3541406,prudentino,MILTON CARLOS DE MELLO,560.637,225668,402.52,234083,97.8,0.806,13.41,1132633063,1050986269,39845.11
Presidente Venceslau,3541505,venceslauense,BARBARA MEDEIROS VILCHES,755.203,35201,46.61,35902,98.6,0.763,3.56,189255867.8,198663114.4,20760.95
Promissão,3541604,promissense,HAMILTON LUIS FOZ,779.2,35131,45.09,35991,96.7,0.743,18.97,196564683.9,176943950.9,51330.11
Quadra,3541653,quadrense,LHEONIDES DE OLIVEIRA ANDRADE,205.672,3405,16.56,3472,98.3,0.678,-,38248156.14,36945838.93,37038.08
Quatá,3541703,quataense,MÁRCIO BIDÓIA,651.341,13163,20.21,13399,98.7,0.738,6.29,101753262.4,99924316.91,57387.58
Queiroz,3541802,queirozense,WALTER RODRIGO DA SILVA,234.914,3265,13.9,3351,98.1,0.715,-,54835856.93,46904111.24,194914.13
Queluz,3541901,queluzense,JOSÉ CELSO BUENO,249.399,9159,36.72,9146,98,0.722,8.06,73783922.22,79506588.09,28178.35
Quintana,3542008,quintanense,FERNANDO ITAPUÃ BRANCO NUNES,318.937,7038,22.07,7225,98.1,0.732,-,49558618.7,43782746.73,41016
Rafard,3542107,rafardense,FABIO DOS SANTOS,121.645,8965,73.7,9133,98.3,0.745,9.71,61032059.1,62174566.86,48529.75
Rancharia,3542206,ranchariense,HOMERO PINELLI SEVERO LINS,1587.498,28588,18.01,29305,97.5,0.751,20,180459583.8,169981829.8,46459.21
Redenção da Serra,3542305,rendencense,JUCIMAR FERREIRA DA SILVA,309.441,4494,14.52,4611,95.2,0.657,27.03,36572005.91,36402907.78,17461.44
Regente Feijó,3542404,regentense,MARCO ANTÔNIO PEREIRA DA ROCHA,263.28,20145,76.52,20565,98.8,0.768,20,126211924,114290563.5,47932.82
Reginópolis,3542503,reginopolitano,JEFFERSON AUGUSTO RODRIGUES BUAVA,410.406,7662,18.67,7808,98.8,0.728,-,52960271.29,51765388.92,18401.03
Registro,3542602,registrense,SAMUEL MOREIRA DA SILVA JUNIOR,722.201,59947,83.01,61732,97.3,0.754,11.38,304653775.2,310042187.5,41751.4
Restinga,3542701,restinguense,FELIPE TALVANI SONTINI,245.746,6404,26.06,6492,98.6,0.705,48.19,47477925.37,47187952.98,27280.56
Ribeira,3542800,ribeirense,ARI DO CARMOS SANTOS,335.759,3132,9.33,3166,97,0.698,26.32,34764402.41,33289524.4,18699.17
Ribeirão Bonito,3542909,ribeirão-bonitense,PAULO ANTONIO GOBATO VEIGA,471.553,10989,23.3,11079,98.7,0.712,14.93,65596176.07,65507481.93,27794.44
Ribeirão Branco,3543006,ribeirão-branquense,ANTONIO CARLOS CAMARGO RIBAS,697.5,18627,26.71,18930,97.5,0.639,12.24,87186273.53,78562928.92,37255.94
Ribeirão Corrente,3543105,ribeirão-correntense,ANA LOURINETE COSTA LÔBO MONTANHER,148.332,4608,31.07,4706,100,0.711,-,46819918.23,42038359.6,66664.82
Ribeirão do Sul,3543204,ribeirão-sulense,ELIANA MARIA RORATO MANSO,203.208,4677,23.02,4768,99,0.747,-,38751426.84,39911485.83,49451.73
Ribeirão dos Índios,3543238,ribeirindio,VALDECI JOSE FERNANDES,196.446,2025,10.31,2045,98.6,0.721,-,29258133.37,26354062.79,21152.38
Ribeirão Grande,3543253,ribeirão grandense,MARCELO LUIS NUNES,333.363,7450,22.35,7570,96.8,0.705,12.82,49246992.49,49423936.44,15221.41
Ribeirão Pires,3543303,ribeirão-pirense,LUIZ GUSTAVO PINHEIRO VOLPI,98.972,115559,1167.59,118877,97.4,0.784,11.41,545843625,516196745,31068.87
Ribeirão Preto,3543402,ribeirão-pretano,RICARDO AUGUSTO MACHADO DA SILVA,650.916,698642,1073.32,728400,96.9,0.8,9.69,4209742708,4285286746,55484.91
Riversul,3543501,riversulense,MARCOS ROBERTO DOS SANTOS,385.878,5599,14.51,5647,95.9,0.664,-,43969085.53,42980451.73,17299.84
Rifaina,3543600,rifainense,WILSON ALVES DA SILVA JUNIOR,162.508,4049,24.92,4158,99.2,0.74,-,57841696.32,53733051.73,52357.63
Rincão,3543709,rinconense,BRAZ RODRIGUES,316.639,9098,28.73,9145,98.2,0.734,-,59724887.16,59729788.22,20883.52
Rinópolis,3543808,rinopolense,GRAZIELA DE LIMA TOMÉ TREVISAN,358.481,9259,25.83,9357,98.6,0.723,-,55514866.27,48378392.56,35113.28
Rio Claro,3543907,rio-clarense,GUSTAVO RAMOS PERISSINOTTO,498.422,201418,404.11,208857,98.2,0.803,11.2,1354725671,1365493630,63209.08
Rio das Pedras,3544004,rio-pedrense,MARCOS BUZETTO,226.657,31328,138.22,32267,98.4,0.759,8.22,202587103,185092476.9,49338.49
Rio Grande da Serra,3544103,riogranserrense ou serrano ou riogransense,RICARDO AKIRA ONO AURIANI,36.341,44170,1215.43,45317,98.2,0.749,10.73,158315631.5,138338961.5,18472.33
Riolândia,3544202,riolandense,ANTONIO CARLOS SANTANA DA SILVA,631.897,10309,16.31,10453,96.7,0.703,10.31,80339373.39,71617417.3,20921.21
Rosana,3544251,rosanense,CLAUDEMIR PERES FRANCISCO DE OLIVEIRA,744.011,17440,23.44,17533,98.1,0.764,9.95,137035826.5,136278610.8,121065.75
Roseira,3544301,roseirense,FERNANDO AUGUSTO DE SIQUEIRA,129.847,10832,83.42,11095,98.7,0.737,10.53,71083148.49,65756701.23,34421.96
Rubiácea,3544400,rubiacense,JÚLIO CÉSAR FELISMINO,236.484,2700,11.42,2741,99.5,0.721,-,32393181.02,29301733.07,24710.59
Rubinéia,3544509,rubineiense,ALEX OLIVO,242.877,3833,15.78,3965,100,0.759,-,42538623.15,39249054.81,32233.41
Sabino,3544608,sabinense,FERNANDO HENRIQUE FLORINDO,305.285,5112,16.75,5185,97.2,0.728,-,52275820.27,46042705.43,31123.73
Sagres,3544707,sagrense,ROBERTO BATISTA PIRES,147.935,2474,16.72,2519,99.2,0.73,31.25,27455746.73,25476068.9,22566.69
Sales,3544806,salense,JOSEMAR FRANCISCO DE ABREU,308.555,6437,20.86,6612,100,0.751,-,60652265.88,55249122.57,26150.29
Sales Oliveira,3544905,salense,FÁBIO GODOY GRATON,305.776,11411,37.32,11654,98.8,0.772,-,78458597.26,87099802.23,34473.89
Salesópolis,3545001,salesopolense,RODOLFO RODRIGUES MARCONDES,424.997,15202,35.77,15396,98.4,0.732,5.65,106155725.7,84928458.02,14499.33
Salmourão,3545100,salmourense,SÔNIA CRISTINA JACON GABAU,172.934,4808,27.8,4883,98.3,0.719,22.73,32744327.14,30783319.93,18037.04
Saltinho,3545159,saltinhense,HELIO FRANZOL BERNARDINO,99.738,8161,81.82,8371,96.8,0.791,-,55699979.2,55285034.16,44465.92
Salto,3545209,saltense,JOSÉ GERALDO GARCIA,133.057,134319,1009.48,140125,98.4,0.78,13.15,663406583.9,710435597.5,77029.01
Salto de Pirapora,3545308,saltopiraporense,MATHEUS MARUM DE CAMPOS,280.412,43748,156.01,45138,98.6,0.729,22.73,255301721.7,252577624.2,47995.61
Salto Grande,3545407,salto-grandense,MARIO LUCIANO ROSA,188.441,9050,48.03,9212,96.5,0.704,11.36,62516358,53561739.5,29155.3
Sandovalina,3545506,sandovalino ou sandovalinense,MARCOS MENDES DA SILVA,455.856,3645,8,3699,98.2,0.709,21.28,60669366.91,55196573.69,72374.52
Santa Adélia,3545605,santa-adeliense,CIRO CESAR COSTA,330.269,14018,42.44,14203,100,0.76,13.07,84457761.84,81723434.92,24461
Santa Albertina,3545704,santa-albertinense,GERSON FORMIGONI JUNIOR,272.692,6393,23.44,6543,98.8,0.728,-,51469926,53100621.07,35584.96
Santa Bárbara d'Oeste,3545803,barbarense,RAFAEL PIOVEZAN,271.03,183347,676.48,189338,98.4,0.781,12.97,868742227.5,869946422.7,40073.67
Santa Branca,3546009,santa-branquense,ADRIANO MARCHESANI LEVORIN,272.238,13975,51.33,14212,98.8,0.735,-,89034166.37,87987531.68,20959.37
