codigo_ibge,pop_censo_22,pop_estimada_24,municipio
3527900,2661,2699,lutecia
3512605,4280,4295,coronel macedo
3539004,10885,11076,pirangi
3553302,21435,21682,tambau
3523800,8046,8210,itobi
3528908,3513,3539,mariapolis
3535200,8903,8994,palmeira doeste
3548708,810729,840499,sao bernardo do campo
3526001,20448,20878,junqueiropolis
3526209,27404,28007,juquitiba
3551108,10369,10632,sarapui
3555307,1669,1672,turmalina
3522158,3422,3490,itaoca
3533601,7391,7550,nuporanga
3535606,17667,17950,paraibuna
3543204,4677,4768,ribeirao do sul
3556602,10176,10294,vera cruz
3516853,4702,4797,gaviao peixoto
3528601,9871,10092,manduri
3532827,8497,8631,nova campina
3536208,19233,19576,pariqueraacu
3543238,2025,2045,ribeirao dos indios
3546108,2598,2677,santa clara doeste
3551603,29894,30920,serra negra
3551801,12730,12912,sete barras
3522208,158522,163928,itapecerica da serra
3530607,451505,468120,mogi das cruzes
3501301,27255,28250,alvares machado
3519006,9125,9302,herculandia
3526100,17154,17255,juquia
3511102,115791,119172,catanduva
3524907,6397,6575,jambeiro
3502903,32443,33656,aracoiaba da serra
3512704,4195,4285,corumbatai
3526803,66505,68395,lencois paulista
3519907,7619,7739,iepe
3552601,11323,11499,tabapua
3528007,16829,17120,macatuba
3536505,110537,115690,paulinia
3507753,2565,2605,brejo alegre
3553807,24350,24863,taquarituba
3500402,7369,7470,aguas da prata
3515608,5942,6066,fernando prestes
3518404,118044,121710,guaratingueta
3548054,8379,8568,santo antonio do aracangua
3511201,7003,7105,catigua
3547601,23411,23725,santa rosa de viterbo
3501707,33019,33757,americo brasiliense
3507803,25201,26167,brodowski
3510906,2799,2855,cassia dos coqueiros
3513108,33281,34252,cravinhos
3533304,2837,2838,nova luzitania
3539905,5592,5696,poloni
3549300,2242,2288,sao joao do pau dalho
3510609,386984,398462,carapicuiba
3529807,11230,11349,mineiros do tiete
3536703,44827,46223,pederneiras
3549706,52205,53416,sao jose do rio pardo
3505302,34346,35159,barra bonita
3511300,12618,13160,cedral
3512902,8719,8968,cosmorama
3514601,9471,9719,dumont
3515103,66970,68805,embuguacu
3530805,92558,95534,mogi mirim
3556305,24241,24723,valparaiso
3546009,13975,14212,santa branca
3556107,14098,14531,valentim gentil
3521705,17983,18258,itabera
3525854,3056,3123,jumirim
3543501,5599,5647,riversul
3550506,7217,7333,sao pedro do turvo
3508504,96202,99678,cacapava
3519709,75605,77651,ibiuna
3503901,86678,89943,aruja
3546306,28864,29525,santa cruz das palmeiras
3501152,17301,17591,aluminio
3519055,15094,15596,holambra
3533106,2156,2188,nova guataporanga
3536570,2090,2146,paulistania
3541059,5126,5246,pratania
3541653,3405,3472,quadra
3543303,115559,118877,ribeirao pires
3500600,2780,2829,aguas de sao pedro
3520806,3615,3671,inubia paulista
3525409,3863,3976,jeriquara
3542602,59947,61732,registro
3552205,723682,757459,sorocaba
3505708,316473,330339,barueri
3505807,21503,21900,bastos
3515152,19566,20139,engenheiro coelho
3516002,12958,13171,florida paulista
3530003,3126,3199,mira estrela
3534708,103970,106877,ourinhos
3543253,7450,7570,ribeirao grande
3544400,2700,2741,rubiacea
3520301,29115,29881,iguape
3522109,112476,117435,itanhaem
3553203,6548,6733,taiuva
3525102,45282,46868,jardinopolis
3501905,68008,69717,amparo
3502705,24585,24886,apiai
3542206,28588,29305,rancharia
3553658,2619,2652,taquaral
3500550,7177,7407,aguas de santa barbara
3501400,4808,4896,alvaro de carvalho
3548302,3000,3063,santo expedito
3552809,273542,284274,taboao da serra
3553609,11816,11936,tapiratiba
3507407,14226,14415,borborema
3512001,18486,18842,colina
3515657,1656,1689,fernao
3539806,103765,106431,poa
3535705,6099,6211,paraiso
3553005,12669,13006,taguai
3502408,4023,4108,anhumas
3512506,5400,5498,coroados
3526902,291869,300728,limeira
3554300,22173,22559,teodoro sampaio
3504602,27260,28909,bady bassitt
3529609,4572,4697,meridiano
3514007,8759,8958,dobrada
3532801,6693,6858,nova alianca
3540259,4127,4196,pontalinda
3545308,43748,45138,salto de pirapora
